Cartographie interactive du SDES; ; 
Référentiel géographique : France par EPCI 2024; ; 
Code;Libellé;Ensemble des surfaces protegées: au moins une mesure de protection 2019
200056232;Communauté d'agglomération Communauté Paris-Saclay;761.54
200056380;Communauté d'agglomération Plaine Vallée;7.06
200057859;Communauté d'agglomération Cœur d'Essonne Agglomération;472.54
200057958;Communauté d'agglomération Paris - Vallée de la Marne;130.82
200058360;Communauté de communes entre Beauce et Perche;3464.93
200058477;Communauté d'agglomération Val d'Yerres Val de Seine;26.13
200058485;Communauté d'agglomération Val Parisis;6.57
200058519;Communauté d'agglomération Saint Germain Boucles de Seine;0
200058782;Communauté d'agglomération de Saint-Quentin-en-Yvelines;2080.94
200059228;Communauté d'agglomération Grand Paris Sud Seine Essonne Sénart;1179.16
200059392;Communauté de communes Bièvre Isère;2149.97
200059400;Communauté de communes Porte Océane du Limousin;13941.54
200059871;Communauté de communes du Centre-Ouest;128.11
200059889;Communauté urbaine Grand Paris Seine et Oise;14628.46
200060010;Communauté d'agglomération Mauges Communauté;4005.3
200060457;Communauté d'agglomération de Dembeni / Mamoudzou;186.31
200060465;Communauté d'agglomération du Grand Nord de Mayotte;461.73
200060473;Communauté de communes du Sud;719.45
200065563;Communauté de communes Normandie-Cabourg-Pays d'Auge;636.72
200065589;Communauté de communes Val ès Dunes;154.04
200065597;Communauté urbaine Caen la Mer;379.75
200065647;Communauté d'agglomération Pays de Montbéliard Agglomération;538.65
200065787;Communauté de communes de Pont-Audemer / Val de Risle;14984.36
200065886;Communauté d'agglomération Loire Forez Agglomération;36883.72
200065894;Communauté de communes de Forez-Est;12651.44
200065928;Communauté d'agglomération Lannion-Trégor Communauté;4738.33
200066009;Communauté d'agglomération Mulhouse Alsace Agglomération;9741.51
200066017;Communauté de communes Lieuvin Pays d'Auge;815.05
200066025;Communauté de communes Alsace Rhin Brisach;16345.46
200066033;Communauté de communes Sud Alsace Largue;784.18
200066041;Communauté de communes Sundgau;4109.63
200066058;Communauté d'agglomération Saint-Louis Agglomération;4111.26
200066108;Communauté de communes des Portes de Meuse;1555.17
200066116;Communauté de communes Argonne-Meuse;5644.23
200066124;Communauté d'agglomération Gaillac-Graulhet;9981.87
200066132;Communauté de communes du Pays de Stenay et du Val Dunois;2784.41
200066140;Communauté de communes de l'Aire à l'Argonne;8052.87
200066157;Communauté de communes de Commercy - Void - Vaucouleurs;11768.83
200066165;Communauté de communes Val de Meuse - Voie Sacrée;1749.16
200066173;Communauté de communes de Damvillers Spincourt;12261.34
200066223;Communauté de communes Arize Lèze;14779.37
200066231;Communauté de communes des Portes d'Ariège Pyrénées;337.79
200066280;Communauté de communes du Pithiverais;3828.13
200066322;Communauté de communes Terres des Confluences;1976.37
200066330;Communauté de communes Terres du Haut Berry;1442.59
200066348;Communauté de communes du Minervois au Caroux;68312.66
200066355;Communauté d'agglomération Sète Agglopôle Méditerranée;17938.3
200066363;Communauté de communes de la Haute Ariège;62633.15
200066371;Communauté de communes Causses et Vallée de la Dordogne;129303.27
200066389;Communauté d'agglomération Saint-Lô Agglo;16899.23
200066405;Communauté de communes Roumois Seine;13013.89
200066413;Communauté de communes Intercom Bernay Terres de Normandie;2474.77
200066462;Communauté de communes Interco Normandie Sud Eure;475.37
200066512;Communauté de communes Élan Limousin Avenir Nature;2502.83
200066520;Communauté de communes Ouest Limousin;41305.59
200066553;Communauté de communes des Monts de Lacaune et de la Montagne du Haut Languedoc;79510.62
200066561;Communauté de communes Sidobre Vals et Plateaux;44466.09
200066587;Communauté de communes des Monts du Lyonnais;377.79
200066603;Communauté de communes du Pays de Lubersac-Pompadour;25564.25
200066637;Communauté de communes Hautes Terres Communauté;68078.39
200066645;Communauté de communes Vézère-Monédières-Millesources;54763.85
200066652;Communauté de communes Grand Sud Tarn et Garonne;1492.8
200066660;Saint-Flour Communauté;90340.13
200066678;Communauté de communes de la Châtaigneraie Cantalienne;45529.76
200066710;Communauté de communes Cingal-Suisse Normande;1947.87
200066728;Communauté de communes Vallées de l'Orne et de l'Odon;0.06
200066744;Communauté de communes Haute-Corrèze Communauté;179576.36
200066751;Communauté de communes Xaintrie Val'Dordogne;65393.53
200066769;Communauté de communes Midi Corrézien;39028.03
200066777;Ploërmel Communauté;633.5
200066785;Communauté de communes de l'Oust à Brocéliande;375.01
200066793;Communauté d'agglomération du Grand Annecy;19244.25
200066801;Communauté de communes Isigny-Omaha Intercom;22416.73
200066819;Communauté de communes du Volvestre;1271.2
200066827;Communauté de communes du Pays de Honfleur-Beuzeville;5515.08
200066835;Communauté de communes de Sézanne-Sud Ouest Marnais;1262.36
200066850;Communauté de communes des Paysages de la Champagne;12951.5
200066868;Communauté de communes Presqu'île de Crozon-Aulne maritime;28266.09
200066876;Communauté d'agglomération de Châlons-en-Champagne;132.77
200066884;Communauté de communes Quercy Vert-Aveyron;1762.59
200066892;Communauté de communes de Vendeuvre-Soulaines;33198.44
200066918;Communauté d'agglomération Alès Agglomération;42872.81
200066926;Communauté d'agglomération Grand Auch Cœur de Gascogne;36.18
200066975;Communauté de communes Senlis Sud Oise;20486.77
200067023;Communauté de communes Coutances Mer et Bocage;5565.01
200067031;Communauté de communes Côte Ouest Centre Manche;43300.25
200067049;Communauté de communes Spelunca-Liamone;58911.15
200067064;Communauté de communes Decazeville Communauté;124.07
200067072;Communauté de communes Haut-Léon Communauté;478.71
200067080;Communauté de communes Chablis Villages et Terroirs;920.85
200067106;Communauté d'agglomération du Pays Basque;109339.34
200067114;Communauté d'agglomération de l'Auxerrois;588.19
200067122;Communauté de communes du Pays de La99ançaise;184.84
200067130;Communauté de communes de Puisaye-Forterre;4008.83
200067155;Communauté de communes Saint Af99icain, Roquefort, Sept Vallons;43187.49
200067163;Communauté de communes Monts, Rance et Rougier;65425.15
200067171;Communauté de communes Aubrac, Carladez et Viadène;73186.37
200067189;Creuse Sud Ouest;27548.63
200067197;Communauté de communes Monts d'Arrée Communauté;35966.87
